script_type,language,shot_number,timecode,shot_type,visual,camera_movement,on_screen_text,voiceover,ai_prompt,sound,transition
ugc,en,1,0-3s,hook,Fast reveal: BlendJet 2 Portable Blender,push in,POV: You're about to find the fix,Tired of no time to make breakfast in the morning? This Portable Blender changes everything.,"Vertical 9:16 realistic short video, smooth push-in camera movement, showing product reveal of BlendJet 2 Portable Blender, natural lighting, ecommerce product demo style, TikTok native aesthetic, UGC feel, 4K.",beat hit,jump cut
ugc,en,2,3-8s,hook,"Scene: Honestly, I was so tired of no time to make breakfast in the morning. Nothing se",handheld POV,POV: You're about to find the fix,"Honestly, I was so tired of no time to make breakfast in the morning. Nothing seemed to work.","Vertical 9:16 realistic short video, handheld POV shot, slight natural shake, showing Honestly, I was so tired of no time to make breakfast in the morning. Nothing seemed to work., natural lighting, ecommerce product demo style, TikTok native aesthetic, UGC feel, 4K.",clean whoosh,cut on action
ugc,en,3,8-13s,reveal,Scene: Then I found the BlendJet 2 Portable Blender. At first I was skeptical — $49.99 ,overhead shot,BlendJet 2 Portable Blender unboxing,Then I found the BlendJet 2 Portable Blender. At first I was skeptical — $49.99 for a Portable Blender?,"Vertical 9:16 realistic short video, smooth camera movement, showing Then I found the BlendJet 2 Portable Blender. At first I was skeptical — $49.99 for a Portable Blender?, natural lighting, ecommerce product demo style, TikTok native aesthetic, UGC feel, 4K.",clean whoosh,cut on action
ugc,en,4,13-20s,demo,Scene: But look at this. Make a fresh smoothie in 20 seconds anywhere. It's honestly im,macro close-up,Wait for it...,But look at this. Make a fresh smoothie in 20 seconds anywhere. It's honestly impressive.,"Vertical 9:16 realistic short video, macro close-up with shallow depth of field, showing But look at this. Make a fresh smoothie in 20 seconds anywhere. It's honestly impressive., natural lighting, ecommerce product demo style, TikTok native aesthetic, UGC feel, 4K.",clean whoosh,cut on action
ugc,en,5,20-24s,social_proof,Scene: I've been using it for a couple weeks now and I'm genuinely impressed.,lifestyle b-roll,2 weeks later...,I've been using it for a couple weeks now and I'm genuinely impressed.,"Vertical 9:16 realistic short video, smooth camera movement, showing I've been using it for a couple weeks now and I'm genuinely impressed., natural lighting, ecommerce product demo style, TikTok native aesthetic, UGC feel, 4K.",clean whoosh,cut on action
ugc,en,6,24-28s,cta,"Scene: If you want making a fresh smoothie in 20 seconds anywhere, this is it. 15% off ",product beauty,Tap link | 15% off with code SMOOTHIE15 + free shipping,"If you want making a fresh smoothie in 20 seconds anywhere, this is it. 15% off with code SMOOTHIE15 + free shipping.","Vertical 9:16 realistic short video, smooth camera movement, showing If you want making a fresh smoothie in 20 seconds anywhere, this is it. 15% off with code SMOOTHIE15 + free shipping., natural lighting, ecommerce product demo style, TikTok native aesthetic, UGC feel, 4K.",clean whoosh,cut on action
ugc,en,7,28-30s,cta,Product beauty shot with offer text,slow push out,Tap the link to check it out. 15% off with code SMOOTHIE15 + free shipping!,Tap the link to check it out. 15% off with code SMOOTHIE15 + free shipping!,"Vertical 9:16 realistic short video, slow gentle push-in, cinematic, showing product beauty shot with clean background, natural lighting, ecommerce product demo style, TikTok native aesthetic, UGC feel, 4K.",music lift,hard cut
review,en,1,0-3s,hook,Fast reveal: BlendJet 2 Portable Blender,push in,HONEST REVIEW,Tired of no time to make breakfast in the morning? This Portable Blender changes everything.,"Vertical 9:16 realistic short video, smooth push-in camera movement, showing product reveal of BlendJet 2 Portable Blender, natural lighting, ecommerce product demo style, TikTok native aesthetic, UGC feel, 4K.",beat hit,jump cut
review,en,2,3-7s,hook,"Scene: Full honest review of the BlendJet 2 Portable Blender. No filter, not sponsored.",face-to-camera,HONEST REVIEW,"Full honest review of the BlendJet 2 Portable Blender. No filter, not sponsored.","Vertical 9:16 realistic short video, smooth camera movement, showing Full honest review of the BlendJet 2 Portable Blender. No filter, not sponsored., natural lighting, ecommerce product demo style, TikTok native aesthetic, UGC feel, 4K.",clean whoosh,cut on action
review,en,3,7-11s,feature,Scene: First thing you notice — this thing is compact. Fits in one hand.,handheld reveal,Compact Portable Blender,First thing you notice — this thing is compact. Fits in one hand.,"Vertical 9:16 realistic short video, smooth camera movement, showing First thing you notice — this thing is compact. Fits in one hand., natural lighting, ecommerce product demo style, TikTok native aesthetic, UGC feel, 4K.",clean whoosh,cut on action
review,en,4,11-17s,demo,Scene: Here's the real test. Let's see if it can actually handle this.,top-down demo,REAL TEST,Here's the real test. Let's see if it can actually handle this.,"Vertical 9:16 realistic short video, smooth camera movement, showing Here's the real test. Let's see if it can actually handle this., natural lighting, ecommerce product demo style, TikTok native aesthetic, UGC feel, 4K.",clean whoosh,cut on action
review,en,5,17-22s,proof,Scene: Okay that's impressive. Make a fresh smoothie in 20 seconds anywhere. No joke.,close-up result,Result: PASSED,Okay that's impressive. Make a fresh smoothie in 20 seconds anywhere. No joke.,"Vertical 9:16 realistic short video, smooth camera movement, showing Okay that's impressive. Make a fresh smoothie in 20 seconds anywhere. No joke., natural lighting, ecommerce product demo style, TikTok native aesthetic, UGC feel, 4K.",clean whoosh,cut on action
review,en,6,22-27s,cta,"Scene: Bottom line: for $49.99, this is a solid buy. 15% off with code SMOOTHIE15 + fre",final shot,Verdict: BUY | 15% off with code SMOOTHIE15 + free shipping,"Bottom line: for $49.99, this is a solid buy. 15% off with code SMOOTHIE15 + free shipping.","Vertical 9:16 realistic short video, smooth camera movement, showing Bottom line: for $49.99, this is a solid buy. 15% off with code SMOOTHIE15 + free shipping., natural lighting, ecommerce product demo style, TikTok native aesthetic, UGC feel, 4K.",clean whoosh,cut on action
review,en,7,27-29s,cta,Product beauty shot with offer text,slow push out,Link in bio for the best price. 15% off with code SMOOTHIE15 + free shipping!,Link in bio for the best price. 15% off with code SMOOTHIE15 + free shipping!,"Vertical 9:16 realistic short video, slow gentle push-in, cinematic, showing product beauty shot with clean background, natural lighting, ecommerce product demo style, TikTok native aesthetic, UGC feel, 4K.",music lift,hard cut
problem_solution,en,1,0-3s,hook,Fast reveal: BlendJet 2 Portable Blender,push in,THE PROBLEM,Tired of no time to make breakfast in the morning? This Portable Blender changes everything.,"Vertical 9:16 realistic short video, smooth push-in camera movement, showing product reveal of BlendJet 2 Portable Blender, natural lighting, ecommerce product demo style, TikTok native aesthetic, UGC feel, 4K.",beat hit,jump cut
problem_solution,en,2,3-7s,problem,Scene: Here's the problem: No time to make breakfast in the morning. And bulky kitchen ,frustration scene,THE PROBLEM,Here's the problem: No time to make breakfast in the morning. And bulky kitchen blenders are a hassle to clean.,"Vertical 9:16 realistic short video, smooth camera movement, showing Here's the problem: No time to make breakfast in the morning. And bulky kitchen blenders are a hassle to clean., natural lighting, ecommerce product demo style, TikTok native aesthetic, UGC feel, 4K.",clean whoosh,cut on action
problem_solution,en,3,7-11s,buildup,"Scene: I tried everything. Expensive alternatives, hacks, nothing worked consistently.",montage,Tried everything...,"I tried everything. Expensive alternatives, hacks, nothing worked consistently.","Vertical 9:16 realistic short video, smooth camera movement, showing I tried everything. Expensive alternatives, hacks, nothing worked consistently., natural lighting, ecommerce product demo style, TikTok native aesthetic, UGC feel, 4K.",clean whoosh,cut on action
problem_solution,en,4,11-17s,solution,Scene: Then I found the BlendJet 2 Portable Blender. Make a fresh smoothie in 20 second,demo reveal,THE FIX,Then I found the BlendJet 2 Portable Blender. Make a fresh smoothie in 20 seconds anywhere. Game over.,"Vertical 9:16 realistic short video, smooth camera movement, showing Then I found the BlendJet 2 Portable Blender. Make a fresh smoothie in 20 seconds anywhere. Game over., natural lighting, ecommerce product demo style, TikTok native aesthetic, UGC feel, 4K.",clean whoosh,cut on action
problem_solution,en,5,17-22s,empathy,"Scene: If you're dealing with No time to make breakfast in the morning, stop overcompli",lifestyle,Don't overthink it,"If you're dealing with No time to make breakfast in the morning, stop overcomplicating it.","Vertical 9:16 realistic short video, smooth camera movement, showing If you're dealing with No time to make breakfast in the morning, stop overcomplicating it., natural lighting, ecommerce product demo style, TikTok native aesthetic, UGC feel, 4K.",clean whoosh,cut on action
